country,Total_vaccin,Nombre_vaccin_utilisé,Date
"Hong Kong",10322514,2,2022-01-11
Iceland,17191,4,2022-01-11
Italy,117218962,4,2022-01-11
Latvia,2651484,4,2022-01-11
Peru,52980894,3,2022-01-11
Romania,16090958,4,2022-01-11
"South Korea",107973750,5,2022-01-11
Switzerland,14489539,3,2022-01-11
Ukraine,29023090,5,2022-01-11
"United States",520610994,3,2022-01-11
Uruguay,5450091,3,2022-01-11
Argentina,82816572,6,2022-01-12
Chile,33608912,4,2022-01-12
Czechia,16288075,4,2022-01-12
Ecuador,28646489,4,2022-01-12
"European Union",757114872,9,2022-01-12
France,130422321,4,2022-01-12
Germany,156838880,5,2022-01-12
"Hong Kong",10363062,2,2022-01-12
Iceland,24042,4,2022-01-12
Italy,105767539,3,2022-01-12
Latvia,2400936,3,2022-01-12
Peru,53223435,3,2022-01-12
Romania,16115653,4,2022-01-12
"South Korea",108355263,5,2022-01-12
Switzerland,14564938,3,2022-01-12
Ukraine,29125670,5,2022-01-12
"United States",521933208,3,2022-01-12
Uruguay,5463667,3,2022-01-12
Argentina,83278821,6,2022-01-13
Chile,33645346,4,2022-01-13
Czechia,16373443,4,2022-01-13
Ecuador,28776165,4,2022-01-13
"European Union",759390151,9,2022-01-13
France,131036617,4,2022-01-13
Germany,157673882,5,2022-01-13
"Hong Kong",10406363,2,2022-01-13
Iceland,29953,4,2022-01-13
Italy,106476011,3,2022-01-13
Latvia,2412098,3,2022-01-13
Peru,53470292,3,2022-01-13
Romania,15287091,3,2022-01-13
"South Korea",108792303,5,2022-01-13
Switzerland,14641609,3,2022-01-13
Ukraine,29218505,5,2022-01-13
"United States",523742313,3,2022-01-13
Uruguay,5476961,3,2022-01-13
Argentina,83695790,6,2022-01-14
Austria,17188980,5,2022-01-14
Belgium,23361313,5,2022-01-14
Bulgaria,4005523,4,2022-01-14
Chile,33680005,4,2022-01-14
Croatia,4968725,4,2022-01-14
Cyprus,1561965,4,2022-01-14
Czechia,16466171,4,2022-01-14
Denmark,11834859,4,2022-01-14
Ecuador,28908044,4,2022-01-14
Estonia,1944350,4,2022-01-14
"European Union",770419862,9,2022-01-14
Finland,10656300,4,2022-01-14
France,131747278,4,2022-01-14
Germany,158450727,5,2022-01-14
"Hong Kong",10451055,2,2022-01-14
Hungary,13634896,5,2022-01-14
Iceland,32222,4,2022-01-14
Ireland,10197276,4,2022-01-14
Italy,107184318,3,2022-01-14
Latvia,2687962,4,2022-01-14
Liechtenstein,67350,3,2022-01-14
Lithuania,4311589,4,2022-01-14
Luxembourg,1067633,4,2022-01-14
Malta,1144460,4,2022-01-14
Netherlands,32652808,5,2022-01-14
Norway,10528738,4,2022-01-14
Peru,53700575,3,2022-01-14
Poland,46887055,5,2022-01-14
Portugal,19646389,6,2022-01-14
Romania,15311934,3,2022-01-14
Slovakia,5614521,3,2022-01-14
Slovenia,2845627,4,2022-01-14
"South Korea",109487140,5,2022-01-14
Spain,91961066,4,2022-01-14
Sweden,17383139,4,2022-01-14
Switzerland,14720399,3,2022-01-14
Ukraine,29309322,5,2022-01-14
"United States",525145327,3,2022-01-14
Uruguay,5483987,3,2022-01-14
Argentina,83882122,6,2022-01-15
Chile,33683534,4,2022-01-15
Czechia,16490656,4,2022-01-15
Ecuador,28961263,4,2022-01-15
"European Union",772061607,9,2022-01-15
France,132176878,4,2022-01-15
Germany,158915440,5,2022-01-15
"Hong Kong",10486595,2,2022-01-15
Iceland,32223,4,2022-01-15
Italy,107884627,3,2022-01-15
Latvia,2430533,3,2022-01-15
Peru,53924660,3,2022-01-15
Romania,15329457,3,2022-01-15
"South Korea",109836213,5,2022-01-15
Switzerland,14762896,3,2022-01-15
Ukraine,29349091,5,2022-01-15
"United States",526438079,3,2022-01-15
Uruguay,5484117,3,2022-01-15
Argentina,84015467,6,2022-01-16
Chile,33683735,4,2022-01-16
Czechia,16503507,4,2022-01-16
Ecuador,28994732,4,2022-01-16
"European Union",772787086,9,2022-01-16
France,132289762,4,2022-01-16
Germany,159069651,5,2022-01-16
"Hong Kong",10513818,2,2022-01-16
Iceland,32225,4,2022-01-16
Italy,108318762,3,2022-01-16
Latvia,2432231,3,2022-01-16
Peru,54055725,3,2022-01-16
Romania,15339157,3,2022-01-16
"South Korea",109857566,5,2022-01-16
Switzerland,14775835,3,2022-01-16
Ukraine,29372377,5,2022-01-16
Uruguay,5484122,3,2022-01-16
Argentina,84433950,6,2022-01-17
Chile,33723283,4,2022-01-17
Czechia,16557464,4,2022-01-17
Ecuador,29107933,4,2022-01-17
"European Union",774347305,9,2022-01-17
France,132692768,4,2022-01-17
Germany,159549068,5,2022-01-17
"Hong Kong",10554637,2,2022-01-17
Iceland,34258,4,2022-01-17
Italy,108918428,3,2022-01-17
Latvia,2701985,4,2022-01-17
Peru,54239151,3,2022-01-17
Romania,16205661,4,2022-01-17
"South Korea",110331562,5,2022-01-17
Switzerland,14831636,3,2022-01-17
Ukraine,29453298,5,2022-01-17
Uruguay,5492802,3,2022-01-17
Argentina,84839246,6,2022-01-18
Chile,33755058,4,2022-01-18
Czechia,16615212,4,2022-01-18
Ecuador,29217671,4,2022-01-18
"European Union",776168946,9,2022-01-18
France,133148487,4,2022-01-18
Germany,160199685,5,2022-01-18
"Hong Kong",10593390,2,2022-01-18
Iceland,36636,4,2022-01-18
Italy,109549639,3,2022-01-18
Latvia,2449106,3,2022-01-18
Peru,54407062,3,2022-01-18
Romania,16222341,4,2022-01-18
"South Korea",110653454,5,2022-01-18
Switzerland,14891882,3,2022-01-18
Ukraine,29538475,5,2022-01-18
"United States",528804260,3,2022-01-18
Uruguay,5502374,3,2022-01-18
Argentina,85223968,6,2022-01-19
Chile,33788822,4,2022-01-19
Czechia,16667724,4,2022-01-19
Ecuador,29312936,4,2022-01-19
"European Union",777905123,9,2022-01-19
France,133515950,4,2022-01-19
Germany,160877665,5,2022-01-19
"Hong Kong",10630757,2,2022-01-19
Iceland,41793,4,2022-01-19
Italy,110161079,3,2022-01-19
Latvia,2721716,4,2022-01-19
Peru,54570570,3,2022-01-19
Romania,15389509,3,2022-01-19
"South Korea",110925104,5,2022-01-19
Switzerland,14946862,3,2022-01-19
Ukraine,29613234,5,2022-01-19
"United States",529967536,3,2022-01-19
Uruguay,5513006,3,2022-01-19
Argentina,85605498,6,2022-01-20
Chile,33815958,4,2022-01-20
Czechia,16722522,4,2022-01-20
Ecuador,29400867,4,2022-01-20
"European Union",779668668,9,2022-01-20
France,133896060,4,2022-01-20
Germany,161577326,5,2022-01-20
"Hong Kong",10670741,2,2022-01-20
Iceland,46086,4,2022-01-20
Italy,110765268,3,2022-01-20
Latvia,2730966,4,2022-01-20
Peru,54716167,3,2022-01-20
Romania,16254595,4,2022-01-20
"South Korea",111262607,5,2022-01-20
Switzerland,14999711,3,2022-01-20
Ukraine,29699380,5,2022-01-20
"United States",531400502,3,2022-01-20
Uruguay,5524008,3,2022-01-20
Argentina,85975208,6,2022-01-21
Austria,17430708,5,2022-01-21
Belgium,23855826,5,2022-01-21
Bulgaria,4095906,4,2022-01-21
Chile,33838329,4,2022-01-21
Croatia,5046491,4,2022-01-21
Cyprus,1587949,4,2022-01-21
Czechia,16784344,4,2022-01-21
Denmark,11987343,4,2022-01-21
Ecuador,29495139,4,2022-01-21
Estonia,1969255,4,2022-01-21
"European Union",788158810,9,2022-01-21
Finland,11032111,4,2022-01-21
France,134356464,4,2022-01-21
Germany,162172612,5,2022-01-21
"Hong Kong",10718798,2,2022-01-21
Hungary,13811584,5,2022-01-21
Iceland,48034,4,2022-01-21
Ireland,10292375,4,2022-01-21
Italy,111352344,3,2022-01-21
Latvia,2740912,4,2022-01-21
Liechtenstein,68682,3,2022-01-21
Lithuania,4361602,4,2022-01-21
Luxembourg,1101083,4,2022-01-21
Malta,1165114,4,2022-01-21
Netherlands,33126474,5,2022-01-21
Norway,10806355,4,2022-01-21
Peru,54855913,3,2022-01-21
Poland,47813731,5,2022-01-21
Portugal,20240879,5,2022-01-21
Romania,15422112,3,2022-01-21
Slovakia,6580723,4,2022-01-21
Slovenia,2866670,4,2022-01-21
"South Korea",111807032,5,2022-01-21
Spain,94202471,4,2022-01-21
Sweden,17899708,4,2022-01-21
Switzerland,15054237,3,2022-01-21
Ukraine,29790690,5,2022-01-21
"United States",532383831,3,2022-01-21
Uruguay,5529131,3,2022-01-21
Argentina,86148083,6,2022-01-22
Chile,33840556,4,2022-01-22
Czechia,15908197,3,2022-01-22
Ecuador,29539722,4,2022-01-22
"European Union",789332113,9,2022-01-22
France,134637161,4,2022-01-22
Germany,162467425,5,2022-01-22
"Hong Kong",10758051,2,2022-01-22
Italy,111918242,3,2022-01-22
Latvia,2482591,3,2022-01-22
Peru,55001587,3,2022-01-22
Romania,15438820,3,2022-01-22
"South Korea",112093388,5,2022-01-22
Switzerland,15083063,3,2022-01-22
Ukraine,29829551,5,2022-01-22
"United States",533447356,3,2022-01-22
Uruguay,5529293,3,2022-01-22
Argentina,86266468,6,2022-01-23
Chile,33840730,4,2022-01-23
Czechia,15914723,3,2022-01-23
Ecuador,29564790,4,2022-01-23
"European Union",789864396,9,2022-01-23
France,134701671,4,2022-01-23
Germany,162575031,5,2022-01-23
"Hong Kong",10790030,2,2022-01-23
Iceland,48036,4,2022-01-23
Italy,112266453,3,2022-01-23
Latvia,2483915,3,2022-01-23
Peru,55112422,3,2022-01-23
Romania,15442926,3,2022-01-23
"South Korea",112109867,5,2022-01-23
Switzerland,15089068,3,2022-01-23
Ukraine,29852092,5,2022-01-23
"United States",534140227,3,2022-01-23
Uruguay,5529293,3,2022-01-23
Argentina,86631900,6,2022-01-24
Chile,33871078,4,2022-01-24
Czechia,16839890,4,2022-01-24
Ecuador,29635566,4,2022-01-24
"European Union",791087353,9,2022-01-24
France,134980694,4,2022-01-24
Germany,162930899,5,2022-01-24
"Hong Kong",10837796,2,2022-01-24
Iceland,49222,4,2022-01-24
Italy,112798120,3,2022-01-24
Latvia,2489308,3,2022-01-24
Peru,55279677,3,2022-01-24
Romania,15455859,3,2022-01-24
"South Korea",112460809,5,2022-01-24
Switzerland,15125211,3,2022-01-24
