country;total_vaccinations;Date;vaccine
Argentina;6051841;28/02/2022;Moderna
Argentina;559712;28/02/2022;CanSino
Argentina;20307114;27/02/2022;Sputnik V
Argentina;28065595;27/02/2022;Sinopharm/Beijing
Argentina;13314643;27/02/2022;Pfizer/BioNTech
Argentina;25668198;27/02/2022;Oxford/AstraZeneca
Argentina;6045246;27/02/2022;Moderna
Argentina;558849;27/02/2022;CanSino
Argentina;20305097;26/02/2022;Sputnik V
Argentina;28060793;26/02/2022;Sinopharm/Beijing
Argentina;13293451;26/02/2022;Pfizer/BioNTech
Argentina;25668140;26/02/2022;Oxford/AstraZeneca
Argentina;6038935;26/02/2022;Moderna
Argentina;558187;26/02/2022;CanSino
Argentina;20298972;25/02/2022;Sputnik V
Argentina;28049433;25/02/2022;Sinopharm/Beijing
Argentina;13251378;25/02/2022;Pfizer/BioNTech
Argentina;25666964;25/02/2022;Oxford/AstraZeneca
Argentina;6028454;25/02/2022;Moderna
Argentina;557036;25/02/2022;CanSino
Argentina;20281862;24/02/2022;Sputnik V
Argentina;28013251;24/02/2022;Sinopharm/Beijing
Argentina;13136977;24/02/2022;Pfizer/BioNTech
Argentina;25663997;24/02/2022;Oxford/AstraZeneca
Argentina;6000393;24/02/2022;Moderna
Argentina;552275;24/02/2022;CanSino
Argentina;20265369;23/02/2022;Sputnik V
Argentina;27982297;23/02/2022;Sinopharm/Beijing
Argentina;13045680;23/02/2022;Pfizer/BioNTech
Argentina;25661646;23/02/2022;Oxford/AstraZeneca
Argentina;5977069;23/02/2022;Moderna
Argentina;547178;23/02/2022;CanSino
Argentina;20246580;22/02/2022;Sputnik V
Argentina;27944424;22/02/2022;Sinopharm/Beijing
Argentina;12939340;22/02/2022;Pfizer/BioNTech
Argentina;25658802;22/02/2022;Oxford/AstraZeneca
Argentina;5944738;22/02/2022;Moderna
Argentina;542322;22/02/2022;CanSino
Argentina;20229717;21/02/2022;Sputnik V
Argentina;27904783;21/02/2022;Sinopharm/Beijing
Argentina;12833116;21/02/2022;Pfizer/BioNTech
Argentina;25655613;21/02/2022;Oxford/AstraZeneca
Argentina;5913971;21/02/2022;Moderna
Argentina;536988;21/02/2022;CanSino
Argentina;20212569;20/02/2022;Sputnik V
Argentina;27868594;20/02/2022;Sinopharm/Beijing
Argentina;12721969;20/02/2022;Pfizer/BioNTech
Argentina;25652687;20/02/2022;Oxford/AstraZeneca
Argentina;5884340;20/02/2022;Moderna
Argentina;532495;20/02/2022;CanSino
Argentina;20209099;19/02/2022;Sputnik V
Argentina;27863130;19/02/2022;Sinopharm/Beijing
Argentina;12685141;19/02/2022;Pfizer/BioNTech
Argentina;25652555;19/02/2022;Oxford/AstraZeneca
Argentina;5877041;19/02/2022;Moderna
Argentina;531986;19/02/2022;CanSino
Argentina;20201380;18/02/2022;Sputnik V
Argentina;27851474;18/02/2022;Sinopharm/Beijing
Argentina;12632516;18/02/2022;Pfizer/BioNTech
Argentina;25651974;18/02/2022;Oxford/AstraZeneca
Argentina;5863625;18/02/2022;Moderna
Argentina;530874;18/02/2022;CanSino
Argentina;20178820;17/02/2022;Sputnik V
Argentina;27813830;17/02/2022;Sinopharm/Beijing
Argentina;12524768;17/02/2022;Pfizer/BioNTech
Argentina;25648186;17/02/2022;Oxford/AstraZeneca
Argentina;5826272;17/02/2022;Moderna
Argentina;526449;17/02/2022;CanSino
Argentina;20156771;16/02/2022;Sputnik V
Argentina;27774110;16/02/2022;Sinopharm/Beijing
Argentina;12418289;16/02/2022;Pfizer/BioNTech
Argentina;25644945;16/02/2022;Oxford/AstraZeneca
Argentina;5792497;16/02/2022;Moderna
Argentina;521519;16/02/2022;CanSino
Argentina;20131860;15/02/2022;Sputnik V
Argentina;27735799;15/02/2022;Sinopharm/Beijing
Argentina;12315410;15/02/2022;Pfizer/BioNTech
Argentina;25641509;15/02/2022;Oxford/AstraZeneca
Argentina;5753225;15/02/2022;Moderna
Argentina;516107;15/02/2022;CanSino
Argentina;20105599;14/02/2022;Sputnik V
Argentina;27697813;14/02/2022;Sinopharm/Beijing
Argentina;12221944;14/02/2022;Pfizer/BioNTech
Argentina;25637902;14/02/2022;Oxford/AstraZeneca
Argentina;5704565;14/02/2022;Moderna
Argentina;510689;14/02/2022;CanSino
Argentina;20069682;13/02/2022;Sputnik V
Argentina;27659930;13/02/2022;Sinopharm/Beijing
Argentina;12119776;13/02/2022;Pfizer/BioNTech
